488,1280,993,678
411,745,319,206
479,116,667,778
445,779,390,224
458,394,660,673
196,782,172,173
587,1126,649,319
230,546,343,123
273,456,547,494
213,586,480,363
149,425,195,288
449,783,288,383
73,653,287,237
481,298,682,704
339,485,322,428
86,516,301,389
131,722,202,196
320,313,567,595
60,570,251,345
133,511,408,386
75,362,277,245
230,564,302,94
62,303,263,285
186,755,123,228
389,942,169,294
103,438,188,219
253,495,455,354
426,123,625,650
454,461,656,595
123,414,321,219
624,1040,792,477
546,637,818,659
275,868,249,88
202,793,262,105
331,579,488,305
159,493,307,140
137,310,339,361
482,288,579,781
179,449,377,275
396,975,422,97
80,670,222,238
189,750,344,151
801,863,657,989
238,567,389,206
481,712,626,401
462,171,688,746
312,387,514,414
476,1046,282,304
303,748,517,286
338,423,397,620
651,921,881,617
644,1773,281,476
